fldId,fldSerialNumber,fldDate,fldUserRef,fldKey,fldCount,Year,Month,Day,Day_of_week
170509361,7415,2025-01-01,1031,Deal.Accessories.OEM,1,2025,1,1,Wednesday
170806930,7831,2025-01-02,273,Deal.Accessories.OEM,1,2025,1,2,Thursday
170858122,5234,2025-01-02,439,Deal.Accessories.OEM,2,2025,1,2,Thursday
170858724,5235,2025-01-02,511,Deal.Accessories.OEM,3,2025,1,2,Thursday
170858796,5235,2025-01-02,522,Deal.Accessories.OEM,1,2025,1,2,Thursday
170858812,5235,2025-01-02,524,Deal.Accessories.OEM,1,2025,1,2,Thursday
170910792,7415,2025-01-02,1030,Deal.Accessories.OEM,3,2025,1,2,Thursday
170910817,7415,2025-01-02,1031,Deal.Accessories.OEM,7,2025,1,2,Thursday
170858350,5234,2025-01-02,1110,Deal.Accessories.OEM,13,2025,1,2,Thursday
170910986,7415,2025-01-02,2050,Deal.Accessories.OEM,1,2025,1,2,Thursday
170967870,3179,2025-01-03,6,Deal.Accessories.OEM,3,2025,1,3,Friday
170968059,3179,2025-01-03,17,Deal.Accessories.OEM,2,2025,1,3,Friday
171287185,5234,2025-01-03,439,Deal.Accessories.OEM,1,2025,1,3,Friday
171287764,5235,2025-01-03,511,Deal.Accessories.OEM,4,2025,1,3,Friday
171287860,5235,2025-01-03,524,Deal.Accessories.OEM,2,2025,1,3,Friday
171345227,7415,2025-01-03,1031,Deal.Accessories.OEM,1,2025,1,3,Friday
171287351,5234,2025-01-03,1110,Deal.Accessories.OEM,1,2025,1,3,Friday
171501508,5234,2025-01-04,439,Deal.Accessories.OEM,1,2025,1,4,Saturday
171501985,5235,2025-01-04,512,Deal.Accessories.OEM,3,2025,1,4,Saturday
171502035,5235,2025-01-04,524,Deal.Accessories.OEM,2,2025,1,4,Saturday
171528069,7415,2025-01-04,1030,Deal.Accessories.OEM,2,2025,1,4,Saturday
171528086,7415,2025-01-04,1031,Deal.Accessories.OEM,1,2025,1,4,Saturday
171501636,5234,2025-01-04,1110,Deal.Accessories.OEM,7,2025,1,4,Saturday
171571617,7415,2025-01-05,1031,Deal.Accessories.OEM,7,2025,1,5,Sunday
171571735,7415,2025-01-05,2128,Deal.Accessories.OEM,3,2025,1,5,Sunday
171571750,7415,2025-01-05,2142,Deal.Accessories.OEM,1,2025,1,5,Sunday
171933518,5235,2025-01-06,511,Deal.Accessories.OEM,2,2025,1,6,Monday
171989710,7415,2025-01-06,1031,Deal.Accessories.OEM,2,2025,1,6,Monday
171933143,5234,2025-01-06,1110,Deal.Accessories.OEM,2,2025,1,6,Monday
172390842,7696,2025-01-07,182,Deal.Accessories.OEM,3,2025,1,7,Tuesday
172386279,5234,2025-01-07,430,Deal.Accessories.OEM,2,2025,1,7,Tuesday
172386324,5234,2025-01-07,439,Deal.Accessories.OEM,1,2025,1,7,Tuesday
172454944,7415,2025-01-07,1031,Deal.Accessories.OEM,4,2025,1,7,Tuesday
172386586,5234,2025-01-07,1110,Deal.Accessories.OEM,3,2025,1,7,Tuesday
172894713,7682,2025-01-08,50,Deal.Accessories.OEM,4,2025,1,8,Wednesday
172855602,7696,2025-01-08,182,Deal.Accessories.OEM,1,2025,1,8,Wednesday
172898035,5234,2025-01-08,439,Deal.Accessories.OEM,1,2025,1,8,Wednesday
172898691,5235,2025-01-08,511,Deal.Accessories.OEM,3,2025,1,8,Wednesday
172898710,5235,2025-01-08,512,Deal.Accessories.OEM,4,2025,1,8,Wednesday
172898818,5235,2025-01-08,524,Deal.Accessories.OEM,1,2025,1,8,Wednesday
172898857,5235,2025-01-08,526,Deal.Accessories.OEM,2,2025,1,8,Wednesday
172921242,7415,2025-01-08,1031,Deal.Accessories.OEM,6,2025,1,8,Wednesday
172898297,5234,2025-01-08,1110,Deal.Accessories.OEM,1,2025,1,8,Wednesday
172921613,7415,2025-01-08,2173,Deal.Accessories.OEM,4,2025,1,8,Wednesday
172983270,3179,2025-01-09,6,Deal.Accessories.OEM,1,2025,1,9,Thursday
173307895,5235,2025-01-09,511,Deal.Accessories.OEM,2,2025,1,9,Thursday
173307917,5235,2025-01-09,512,Deal.Accessories.OEM,3,2025,1,9,Thursday
