Serial,ClientName,DBA,Active_on_OEMAcc
2019,NOR-LAN CHRYSLER INC.,,0
2024,DUCHARME MOTORS LTD. ,,0
2038,COUNTRY HILLS CHRYSLER DODGE JEEP RAM LTD.,COUNTRY HILLS CHRYSLER DODGE JEEP RAM LTD.,0
2041,CENTAUR IMPORT MOTORS (1977) LTD.,CENTAUR IMPORT MOTORS,0
2044,KIPP SCOTT MOTORS,KIPP SCOTT GMC CADILLAC BUICK,0
2045,SARCEE MOTORS LTD.,WHEATON HONDA WEST,0
2066,WESTERN GMC BUICK LTD,WOLFE GMC BUICK EDMONTON,0
2074,ROCKY MOUNTAIN DODGE & RV,,0
2076,BIG LAKES DODGE LTD. ,,0
2100,JIM HANSEN'S GATEWAY FORD LINCOLN SALES INC.,HANSEN FORD,0
2135,ZAROWNY MOTORS (ST. PAUL),,0
2142,COLD LAKE CHRYSLER JEEP,,0
2170,EDMONTON MOTORS LTD.,WOLFE CADILLAC,0
2180,GSL GM CITY,WOLFE CHEVROLET GMC BUICK CALGARY,0
2210,NABER FORD SALES LTD,NABER FORD SALES LTD,0
2215,COLD LAKE FORD,,0
2218,1717887 ALBERTA LTD.,CAMROSE TOYOTA,0
2219,GREAT PLAINS FORD SALES,,0
2250,OCEAN PARK FORD SALES LTD.,,0
2254,PORTMAR HOLDINGS LTD ,CAMPBELL RIVER HONDA,0
2326,FERNIE FORD SALES LTD.,LEGACY FORD FERNIE,0
2340,ISLAND MOTOR PRODUCTS INC,,0
2344,COMOX VALLEY CHRYSLER JEEP DODGE RAM,COMOX VALLEY CHRYSLER JEEP DODGE RAM,0
2353,328633 B.C. Ltd.,Wolfe's Langley Mazda,0
2355,0932591 B.C. LTD,MSA FORD SALES,0
2357,FORT MOTORS LTD,,0
2371,HARBOURVIEW AUTOHAUS LTD,,0
2411,PARKERS CHRYSLER DODGE JEEP LTD,,0
2414,PIONEER GARAGE LIMITED,,0
2419,RAINBOW CHRYSLER DODGE JEEP RAM LTD.,RAINBOW CHRYSLER DODGE JEEP RAM LTD.,0
2504,BAYVIEW CHRYSLER DODGE LTD.,,0
2548,DIXIE FORD SALES LIMITED,,0
2562,BLUE MOUNTAIN CHRYSLER LTD,,0
2592,ORANGEVILLE CHRYSLER LTD.,,0
2595,THRASHER SALES & LEASING LTD.,,0
2621,BLAIKIES DODGE CHRYSLER LTD.,,0
2623,POTHIER MOTORS LTD.,,0
2627,DOWNEY FORD SALES (MAIN STORE),,0
2635,ATLANTIC DODGE CHRYSLER JEEP,,0
2651,NORRAD CHRYSLER (1997) LTD.,,0
2658,CENTRAL NOVA SUBARU OUTBACK HOLDINGS LTD,,0
2675,WHEELS & DEALS LTD.,,0
