Serial,DeploymentId,Name,DBA,InvHub-Invoices,InvHub-Statements,EP-Unknown,EP-Unknown-PAID,EP-SO,EP-SO-PAID,EP-PartsDeposit,EP-PartsDeposit-PAID,EP-SalesDeposit,EP-SalesDeposit-PAID,EP-Invoice,EP-Invoice-PAID,EP-SODeposit,EP-SODeposit-PAID,EP-ApptDeposit,EP-ApptDeposit-PAID,EP-ARExpressPay,EP-ARExpressPay-PAID,EP-ARStatement,EP-ARStatement-PAID,Usage-AddWork,Usage-AddWorkTech,Usage-ArchiveCount,Usage-AttachmentCount,Usage-AutoBilling,Usage-BarcodeLabel,Usage-BinLabel,Usage-CustomerCare,Usage-DataTablesTotalSize,Usage-DealActivity,Usage-DueBill,Usage-eSignature,Usage-InspectionReportLayout,Usage-MakeReady,Usage-MaxUsers,Usage-OnlineApproval,Usage-PartRequest,Usage-PickTicketLabel,Usage-PurchaseOrder,Usage-ServiceEstimates,Usage-ServiceInspections,Usage-ServiceOrders,Usage-ServiceOrders-Closed,Usage-ServiceOrders-CustPay,Usage-ServieOrders-WithMedia,Usage-SOPLabel,Usage-TiresInStorage,Usage-TireStorageLabel,Usage-VSL,Usage-WPEvent
1293,5f22d9da-a90a-48cc-9681-090d9809591b,PBS - GEORGIAN COLLEGE TESTING,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,117,7,0,1,0,0,26352,0,0,,0,0,16,0,1,1,0,0,0,51,0,38,0,5,262,2,0,1
2010,58969F9E-10D6-4463-83F3-2B9A9E2BCF25,PBS INSTALLS,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,DCA5CC91-BC42-4EAD-82DE-42220EADFCAE,NOR-LAN CHRYSLER INC.,,992,166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,775,1,17342,2783,20,1,1,2,8,0,0,,0,0,56,0,1276,1,31,0,0,1784,1643,1088,0,1,0,0,0,4620
2024,536E99F9-5C00-4B2C-990C-47165B16AF0F,DUCHARME MOTORS LTD. ,,423,90,0,0,0,0,3,2,0,0,0,0,36,19,5,2,0,0,0,0,1116,740,16977,969,0,2,0,2,0,0,33,,,29,36,0,2052,2,0,231,,784,742,583,23,3,127,1,1,2135
2038,AC7913A1-0029-4F2A-B7DA-9D3D66AC6DB0,COUNTRY HILLS CHRYSLER DODGE JEEP RAM LTD.,COUNTRY HILLS CHRYSLER DODGE JEEP RAM LTD.,1333,99,0,0,0,0,0,0,0,0,0,0,21,9,0,0,0,0,0,0,1656,630,15780,1832,0,2,0,0,0,0,0,,0,0,59,0,1513,1,820,13,0,1251,1050,627,0,1,306,4,0,2299
2041,02B879A7-D356-4EF1-BC23-556F3EC345CB,CENTAUR IMPORT MOTORS (1977) LTD.,CENTAUR IMPORT MOTORS,1075,93,0,0,551,93,32,22,58,39,80,48,0,0,0,0,0,0,0,0,425,246,4060,1134,0,1,0,2,0,0,655,,,0,40,2,117,1,493,290,,1175,1130,852,5,1,0,0,0,4019
2044,F52B4462-951D-462A-8D5B-B7F507704739,KIPP SCOTT MOTORS,KIPP SCOTT GMC CADILLAC BUICK,1367,156,0,0,55,37,63,55,67,47,0,0,2,2,0,0,0,0,0,0,1078,57,14439,2146,396,1,0,2,0,0,22,,,0,64,0,1192,1,254,656,,2267,1935,1533,1,2,575,4,0,17403
2045,D8D7614C-31D1-49E6-A7DC-177714A18CB7,SARCEE MOTORS LTD.,WHEATON HONDA WEST,1004,33,0,0,730,201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4124,3754,12556,1053,0,2,1,0,8,0,536,,,0,57,330,6166,8,0,36,,1291,1219,886,145,13,1333,4,0,11341
2066,A388944A-1115-4352-8259-564DA8C00BB7,WESTERN GMC BUICK LTD,WOLFE GMC BUICK EDMONTON,1663,261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1609,948,74684,14278,0,1,0,8,0,147,0,,0,52,74,0,3333,1,1075,21,0,1199,1016,600,0,1,436,0,1,17421
2074,6ED47D5E-E31E-4369-8CDB-A6E0DD241DF9,ROCKY MOUNTAIN DODGE & RV,,237,49,0,0,11,3,0,0,4,2,0,0,2,0,0,0,6,0,3,0,666,477,4704,339,0,1,0,0,8,0,0,,0,0,30,9,997,1,177,86,0,367,292,187,14,1,0,0,1,2385
2076,4D324BA0-AB2D-4C4B-B26E-06903973179C,BIG LAKES DODGE LTD. ,,111,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188,0,2663,263,0,1,0,0,8,0,4,,0,28,15,0,0,1,0,158,0,219,179,136,0,1,0,0,0,1257
2100,F587BE25-199C-442F-8F26-EAF08DD64EC4,JIM HANSEN'S GATEWAY FORD LINCOLN SALES INC.,HANSEN FORD,1083,115,0,0,35,23,5,4,11,6,0,0,3,1,0,0,0,0,0,0,1360,1070,16275,10295,0,11,3,0,0,0,423,,,94,57,0,3360,2,602,16,,848,661,415,372,7,54,20,0,19418
2135,4023335B-9115-4ECE-8EBF-250BC30280A3,ZAROWNY MOTORS (ST. PAUL),,581,86,0,0,46,19,67,52,0,0,0,0,0,0,0,0,0,0,0,0,337,120,7964,488,0,1,0,0,0,0,0,,0,0,32,0,1284,3,0,162,0,807,675,547,2,8,166,6,1,4853
